,0
0,px_pct_18m
1,px_avg_momentum_9m
2,px_vol_3m
3,px_vol_9m
4,volume_mom
5,px_avg_momentum_3m_l3
6,pe
7,px_momentum_9m_vol_12m_l3
8,px_momentum_6m_vol_12m_l3
9,px_momentum_3m
10,px_avg_pct_6m
11,px_momentum_9m_vol_12m_chg_3m
12,px_avg_momentum_6m
13,px_vol_6m
14,px_momentum_9m_chg_3m
15,px_momentum_9m_vol_12m
16,px_chg_12m_vol_12m
17,px_yoy
18,ps
19,px_momentum_3m_chg_3m
20,ps_dyoy
21,px_momentum_3m_vol_12m
22,px_momentum_6m
23,psg
24,px_avg_momentum_3m
25,px_avg_momentum_9m_l3
26,px_momentum_6m_chg_3m
27,px_momentum_6m_l3
